index,row,col,filename,name,description
0,0,0,00_highland_grass_01.png,highland_grass_01,
1,0,1,01_highland_grass_02.png,highland_grass_02,
2,0,2,02_valley_grass_01.png,valley_grass_01,
3,0,3,03_valley_grass_02.png,valley_grass_02,
4,0,4,04_south_cliff_wall_01.png,south_cliff_wall_01,"Highland above, valley below; visible cliff wall."
5,0,5,05_south_cliff_wall_02.png,south_cliff_wall_02,"Highland above, valley below; visible cliff wall."
6,0,6,06_south_cliff_shadow_01.png,south_cliff_shadow_01,
7,0,7,07_south_cliff_shadow_02.png,south_cliff_shadow_02,
8,1,0,08_west_highland_edge.png,west_highland_edge,"Highland on left, valley on right."
9,1,1,09_east_highland_edge.png,east_highland_edge,"Highland on right, valley on left."
10,1,2,10_valley_outer_corner_nw.png,valley_outer_corner_nw,
11,1,3,11_valley_outer_corner_ne.png,valley_outer_corner_ne,
12,1,4,12_valley_outer_corner_sw.png,valley_outer_corner_sw,
13,1,5,13_valley_outer_corner_se.png,valley_outer_corner_se,
14,1,6,14_highland_inner_corner_nw.png,highland_inner_corner_nw,
15,1,7,15_highland_inner_corner_ne.png,highland_inner_corner_ne,
16,2,0,16_valley_path_vertical.png,valley_path_vertical,
17,2,1,17_valley_path_horizontal.png,valley_path_horizontal,
18,2,2,18_valley_path_cross.png,valley_path_cross,
19,2,3,19_valley_path_corner_ne.png,valley_path_corner_ne,
20,2,4,20_valley_path_corner_nw.png,valley_path_corner_nw,
21,2,5,21_valley_path_corner_se.png,valley_path_corner_se,
22,2,6,22_valley_path_corner_sw.png,valley_path_corner_sw,
23,2,7,23_highland_path_vertical.png,highland_path_vertical,
24,3,0,24_stairs_down_center.png,stairs_down_center,Walkable transition from highland down to valley.
25,3,1,25_ramp_down_center.png,ramp_down_center,Walkable sloped transition.
26,3,2,26_ramp_left.png,ramp_left,Walkable sloped transition.
27,3,3,27_ramp_right.png,ramp_right,Walkable sloped transition.
28,3,4,28_valley_shadow_top.png,valley_shadow_top,
29,3,5,29_cliff_wall_plain.png,cliff_wall_plain,
30,3,6,30_cliff_wall_narrow.png,cliff_wall_narrow,
31,3,7,31_cliff_wall_low.png,cliff_wall_low,
32,4,0,32_highland_grass_edge_bottom.png,highland_grass_edge_bottom,
33,4,1,33_valley_grass_edge_top_shadow.png,valley_grass_edge_top_shadow,
34,4,2,34_highland_grass_edge_left.png,highland_grass_edge_left,
35,4,3,35_highland_grass_edge_right.png,highland_grass_edge_right,
36,4,4,36_valley_grass_dark_01.png,valley_grass_dark_01,
37,4,5,37_valley_grass_dark_02.png,valley_grass_dark_02,
38,4,6,38_dirt_patch_highland.png,dirt_patch_highland,
39,4,7,39_dirt_patch_valley.png,dirt_patch_valley,
